City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
229,aykol,38.1751,77.2132,-6.26,92,100,2.05,CN,1733963380
230,papatowai,-46.5619,169.4708,13.58,84,100,2.14,NZ,1733963381
231,belmonte,-15.8631,-38.8828,26.1,83,56,4.35,BR,1733963382
232,ocean shores,46.9737,-124.1563,9.62,78,0,3.6,US,1733963383
233,wewak,-3.5534,143.6268,28.31,81,91,1.61,PG,1733963384
234,tazacorte,28.629,-17.9293,15.64,80,0,3.13,ES,1733963385
235,susuman,62.7833,148.1667,-31.86,100,99,0.83,RU,1733963386
236,utrik,11.2278,169.8474,27.48,78,2,9.33,MH,1733963388
237,yeppoon,-23.1333,150.7333,25.51,83,94,4.52,AU,1733963389
238,tottori,35.5,134.2333,5.04,87,75,3.09,JP,1733963257
239,thunder bay,48.4001,-89.3168,-14.01,66,75,6.69,CA,1733963313
240,saldanha,-33.0117,17.9442,16.03,86,84,5.03,ZA,1733963392
241,hami,42.8,93.45,-7.51,65,28,0.59,CN,1733963393
242,cabo san lucas,22.8909,-109.9124,23.75,62,20,2.06,MX,1733963323
243,tipasa,36.5897,2.4475,13.16,49,86,3.91,DZ,1733963395
244,mazatan,14.8667,-92.45,28.04,89,0,0.0,MX,1733963396
245,hisar,29.1667,75.7167,10.47,22,0,2.19,IN,1733963398
246,vilyuchinsk,52.9306,158.4028,-9.85,82,89,3.75,RU,1733963399
247,salalah,17.0151,54.0924,24.05,33,0,5.66,OM,1733963400
248,ati,13.2154,18.3353,21.46,10,100,5.34,TD,1733963401
249,alpine,32.835,-116.7664,18.64,20,0,2.57,US,1733963402
250,tabas,33.5959,56.9244,4.91,46,0,1.11,IR,1733963403
251,arteche,12.2645,125.4048,28.05,79,55,3.86,PH,1733963404
252,kyzylorda,44.8528,65.5092,-13.99,85,0,3.0,KZ,1733963405
253,la ronge,55.1001,-105.2842,-28.86,76,0,1.03,CA,1733963407
254,ninghai,29.2892,121.4247,8.79,74,27,4.22,CN,1733963408
255,amasra,41.7463,32.3863,9.47,88,100,3.26,TR,1733963409
256,adzope,6.1069,-3.8619,23.45,93,18,1.23,CI,1733963411
257,paracuru,-3.41,-39.0306,26.52,82,91,5.46,BR,1733963412
258,praya,14.9215,-23.5087,23.39,69,18,7.48,CV,1733963413
259,duong dong,10.2167,103.9667,27.0,83,40,3.6,VN,1733963414
260,corfu,39.62,19.9197,10.1,100,40,0.0,GR,1733963416
261,kavieng,-2.5744,150.7967,29.89,70,51,2.78,PG,1733963417
262,wau,7.7029,27.9953,25.37,26,0,3.08,SS,1733963418
263,salinopolis,-0.6136,-47.3561,26.86,84,78,4.78,BR,1733963159
264,sena madureira,-9.0656,-68.6569,24.16,92,90,1.19,BR,1733963288
265,yuzhno-kurilsk,44.0306,145.8556,-2.16,45,5,12.0,RU,1733963422
266,gaiman,-43.2897,-65.4929,17.11,69,0,5.63,AR,1733963424
267,murzuq,25.9155,13.9184,14.57,22,100,2.47,LY,1733963425
268,nephi,39.7102,-111.8363,-0.58,59,62,1.39,US,1733963426
269,port said,31.2565,32.2841,19.48,74,100,4.67,EG,1733963427
270,neyriz,29.1988,54.3278,6.07,53,0,1.13,IR,1733963428
271,batouri,4.4333,14.3667,21.03,37,100,0.4,CM,1733963429
272,miandrivazo,-19.5167,45.4667,27.05,77,75,0.97,MG,1733963430
273,natchitoches,31.7668,-93.1335,5.99,70,0,0.0,US,1733963432
274,chambarak,40.5966,45.355,0.58,67,4,4.29,AM,1733963433
275,arraial do cabo,-22.9661,-42.0278,22.98,83,75,0.0,BR,1733963434
276,kirensk,57.7853,108.1119,-23.04,94,96,2.66,RU,1733963435
277,faya-largeau,17.9257,19.1043,18.17,13,11,7.2,TD,1733963436
278,callao,-12.0667,-77.15,22.62,68,0,6.69,PE,1733963437
279,el granada,37.5027,-122.4694,14.08,66,0,2.06,US,1733963438
280,bay harbor,30.1471,-85.6146,10.52,53,0,3.6,US,1733963439
281,luwuk,-0.9516,122.7875,28.46,66,100,1.52,ID,1733963440
282,demak,-6.8909,110.6396,28.02,76,78,0.38,ID,1733963442
283,xiaoweizhai,26.1903,107.5125,2.72,88,100,1.93,CN,1733963443
284,aral,40.5156,81.2636,-6.15,82,13,2.87,CN,1733963444
285,muroto-misakicho,33.2833,134.15,10.37,70,44,6.72,JP,1733963445
286,jiagedaqi,50.4167,124.1167,-22.96,92,5,1.77,CN,1733963446
287,linxia chengguanzhen,35.6003,103.2064,-7.89,87,100,2.0,CN,1733963447
288,kendari,-3.945,122.4989,26.16,90,100,0.79,ID,1733963354
289,puerto armuelles,8.2833,-82.8667,25.61,83,29,0.45,PA,1733963449
290,glenfield park,-35.1372,147.334,27.12,38,0,0.45,AU,1733963451
291,palu,-0.8917,119.8707,27.98,84,100,0.8,ID,1733963452
292,keflavik,64.0049,-22.5624,6.24,81,75,11.32,IS,1733963453
293,northam,51.0333,-4.2167,6.62,74,100,5.81,GB,1733963454
294,fort wellington,6.4,-57.6,26.29,82,3,4.66,GY,1733963455
295,jutai,-5.1833,-68.9,23.83,94,100,0.99,BR,1733963456
296,xianning,29.8833,114.2167,6.98,68,100,1.94,CN,1733963457
297,as saffaniyah,27.9708,48.73,16.49,40,100,3.28,SA,1733963459
298,yukhnov,54.7444,35.2297,-6.62,96,22,3.68,RU,1733963460
299,happy valley-goose bay,53.3168,-60.3315,-4.83,100,100,2.06,CA,1733963461
300,albertina,-22.2008,-46.6158,16.95,93,2,1.79,BR,1733963462
